heures;cours.quantité;
10:06:06;0.0024;280000
10:03:56;0.0025;200000
10:03:50;0.0025;9000
10:02:27;0.0025;168847
10:02:27;0.0025;199260
10:02:27;0.0025;192302
10:02:27;0.0025;375
10:02:27;0.0025;375
10:02:27;0.0025;375
10:02:27;0.0025;200000
10:02:27;0.0025;375
10:02:27;0.0025;375
10:02:27;0.0025;375
10:02:27;0.0025;375
10:02:27;0.0025;375
10:02:27;0.0025;375
10:02:27;0.0025;1236216
10:02:03;0.0024;2758016
10:02:03;0.0024;2241984
10:01:49;0.0024;2000000
10:01:35;0.0025;200000
10:00:58;0.0025;50000
10:00:55;0.0025;41666
10:00:20;0.0024;658016
10:00:20;0.0024;6841984
09:59:29;0.0024;15
09:59:13;0.0024;231308
09:59:13;0.0024;51000
09:59:13;0.0024;42000
09:59:13;0.0024;3175692
09:58:53;0.0025;38000
09:58:32;0.0025;40500
09:58:32;0.0025;200000
09:58:32;0.0025;800000
09:58:31;0.0024;36000
09:57:31;0.0024;100000
09:56:51;0.0024;150000
09:56:37;0.0024;7500000
09:54:28;0.0024;43461
09:54:28;0.0024;56539
09:53:09;0.0024;300
09:52:49;0.0025;60000
09:52:40;0.0024;400000
09:52:15;0.0024;121500
09:50:51;0.0024;150000
09:50:30;0.0024;1000000
09:49:42;0.0025;43750
09:49:24;0.0024;1812308
09:49:24;0.0024;187692
09:48:06;0.0024;2136516
09:48:06;0.0024;863484
09:48:01;0.0025;20000
09:47:29;0.0024;20641
09:47:29;0.0024;19359
09:46:01;0.0025;20000
09:45:53;0.0024;30000
09:45:53;0.0024;50000
09:45:53;0.0024;30000
09:44:36;0.0024;248
09:43:57;0.0024;136516
09:43:57;0.0024;363484
09:43:49;0.0025;56000
09:43:21;0.0025;125000
09:42:54;0.0024;800000
09:42:54;0.0024;20000
09:42:51;0.0025;42000
09:42:06;0.0024;140000
09:41:27;0.0025;10000
09:41:19;0.0025;56000
09:40:08;0.0024;696516
09:40:08;0.0024;100
09:40:08;0.0024;5670051
09:40:08;0.0024;15000
09:40:08;0.0024;500000
09:40:08;0.0024;1500000
09:40:08;0.0024;20000
09:40:08;0.0024;150000
09:40:08;0.0024;297000
09:40:08;0.0024;280000
09:40:08;0.0024;200000
09:40:08;0.0024;87500
09:40:08;0.0024;200000
09:40:08;0.0024;87500
09:40:08;0.0024;90000
09:40:08;0.0024;206333
09:39:56;0.0025;7200
09:39:33;0.0025;120000
09:38:55;0.0025;400000
09:38:13;0.0024;500000
09:38:05;0.0025;125000
09:36:27;0.0025;400000
09:36:02;0.0025;1951
09:35:21;0.0025;40000
09:35:14;0.0025;1000000
09:34:45;0.0024;500000
09:34:40;0.0025;50000
09:34:32;0.0025;50000
09:34:21;0.0025;50000
09:33:59;0.0024;30641
09:33:59;0.0024;119666
09:33:39;0.0025;10000
09:33:05;0.0025;29462
09:33:05;0.0025;41538
09:32:55;0.0025;100000
09:31:54;0.0025;240000
09:31:50;0.0025;100000
09:31:27;0.0025;40000
09:30:47;0.0025;240000
09:30:12;0.0025;350000
09:30:01;0.0024;247000
09:29:52;0.0024;50000
09:29:21;0.0025;296500
09:29:18;0.0024;406000
09:28:08;0.0025;120000
09:27:47;0.0024;37213
09:27:43;0.0025;500000
09:26:41;0.0025;100000
09:26:25;0.0025;80000
09:26:16;0.0025;360000
09:26:15;0.0024;1200000
09:25:53;0.0025;1600000
09:25:36;0.0025;76000
09:25:18;0.0025;200000
09:24:40;0.0025;200000
09:23:59;0.0025;108462
09:23:59;0.0025;41538
09:23:45;0.0025;396000
09:23:32;0.0025;70000
09:23:31;0.0024;10
09:23:07;0.0025;2000000
09:23:02;0.0025;10000
09:22:59;0.0025;200
09:22:58;0.0025;396733
09:21:39;0.0025;40400
09:21:25;0.0024;38667
09:21:25;0.0024;21333
09:18:39;0.0025;40000
09:18:12;0.0024;187000
09:18:12;0.0024;13000
09:18:06;0.0024;2000
09:17:24;0.0025;50000
09:17:02;0.0025;770
09:16:20;0.0025;62400
09:16:08;0.0025;100000
09:15:42;0.0024;137000
09:15:42;0.0024;63000
09:15:28;0.0024;150000
09:15:23;0.0024;100000
09:14:32;0.0024;732503
09:14:25;0.0024;500000
09:13:26;0.0024;3000000
09:12:45;0.0024;42000
09:12:08;0.0024;550000
09:11:30;0.0024;430035
09:11:20;0.0024;119500
09:11:09;0.0024;1000000
09:10:51;0.0024;100
09:10:51;0.0024;200000
09:10:51;0.0024;700800
