heures;cours.quantité;
17:35:24;44.080;199
17:35:24;44.080;199
17:35:24;44.080;269
17:35:24;44.080;136
17:35:24;44.080;92
17:35:24;44.080;28
17:35:24;44.080;17
17:35:24;44.080;176
17:35:24;44.080;63
17:35:24;44.080;91
17:35:24;44.080;81
17:35:24;44.080;31
17:35:24;44.080;41
17:35:24;44.080;114
17:35:24;44.080;2
17:35:24;44.080;143
17:35:24;44.080;102
17:35:24;44.080;268
17:35:24;44.080;114
17:35:24;44.080;146
17:35:24;44.080;252
17:35:24;44.080;298
17:35:24;44.080;79
17:35:24;44.080;82
17:35:24;44.080;158
17:35:24;44.080;4
17:35:24;44.080;16
17:35:24;44.080;801
17:35:24;44.080;89
17:35:24;44.080;400
17:35:24;44.080;600
17:35:24;44.080;246
17:35:24;44.080;191
17:35:24;44.080;136
17:35:24;44.080;2
17:35:24;44.080;50
17:35:24;44.080;10
17:35:24;44.080;175
17:35:24;44.080;269
17:35:24;44.080;1443
17:35:24;44.080;792
17:35:24;44.080;57
17:35:24;44.080;100
17:35:24;44.080;66
17:35:24;44.080;17
17:35:24;44.080;857
17:35:24;44.080;386
17:35:24;44.080;453
17:35:24;44.080;24
17:35:24;44.080;1220
17:35:24;44.080;153
17:35:24;44.080;67
17:35:24;44.080;183
17:35:24;44.080;20
17:35:24;44.080;69
17:35:24;44.080;9
17:35:24;44.080;133
17:35:24;44.080;666
17:35:24;44.080;23
17:35:24;44.080;121
17:35:24;44.080;16
17:35:24;44.080;180
17:35:24;44.080;469
17:35:24;44.080;63
17:35:24;44.080;103
17:35:24;44.080;52
17:35:24;44.080;157
17:35:24;44.080;358
17:35:24;44.080;1
17:35:24;44.080;486
17:35:24;44.080;315
17:35:24;44.080;111
17:35:24;44.080;486
17:35:24;44.080;7
17:35:24;44.080;1
17:35:24;44.080;185
17:35:24;44.080;70
17:35:24;44.080;68
17:35:24;44.080;72
17:35:24;44.080;24
17:35:24;44.080;47
17:35:24;44.080;25
17:35:24;44.080;23
17:35:24;44.080;68
17:35:24;44.080;9
17:35:24;44.080;183
17:35:24;44.080;78
17:35:24;44.080;1
17:35:24;44.080;132
17:35:24;44.080;149
17:35:24;44.080;8
17:35:24;44.080;18
17:35:24;44.080;13
17:35:24;44.080;43
17:35:24;44.080;79
17:35:24;44.080;79
17:35:24;44.080;42
17:35:24;44.080;21
17:35:24;44.080;9
17:35:24;44.080;10
17:35:24;44.080;6
17:35:24;44.080;166
17:35:24;44.080;89
17:35:24;44.080;390
17:35:24;44.080;12
17:35:24;44.080;121
17:35:24;44.080;345
17:35:24;44.080;92
17:35:24;44.080;50
17:29:34;44.040;3
17:29:34;44.080;6
17:29:34;44.080;5
17:29:13;44.000;3
17:29:13;44.000;26
17:29:13;44.000;7
17:29:13;44.000;73
17:29:05;44.020;57
17:29:05;44.020;95
17:29:05;44.020;71
17:29:05;44.020;23
17:29:05;44.020;6
17:29:05;44.020;6
17:28:53;44.080;6
17:28:53;44.080;3
17:28:42;44.080;3
17:28:42;44.080;6
17:28:07;44.060;1
17:28:07;44.060;5
17:28:07;44.060;5
17:28:07;44.060;5
17:28:07;44.060;6
17:27:32;44.000;71
17:27:32;44.020;70
17:21:50;44.000;133
17:21:50;44.000;6
17:21:50;44.000;20
17:21:47;44.020;83
17:21:47;44.020;22
17:21:47;44.020;21
17:21:47;44.020;76
17:20:45;44.020;76
17:20:45;44.020;18
17:20:45;44.020;76
17:20:45;44.020;5
17:20:45;44.020;6
17:20:45;44.020;8
17:20:45;44.020;30
17:20:45;44.020;46
17:20:44;44.060;11
17:20:44;44.040;30
17:20:44;44.040;103
17:20:44;44.040;230
17:20:10;44.080;5
17:20:10;44.080;6
17:19:18;44.080;5
17:19:18;44.080;5
17:19:18;44.080;76
17:19:05;44.020;5
17:19:05;44.020;10
17:19:05;44.020;5
17:19:05;44.060;42
17:19:05;44.060;24
17:19:05;44.060;6
17:19:05;44.060;6
17:17:53;43.980;22
17:15:46;44.040;37
17:15:46;44.040;18
17:15:45;44.040;58
17:15:45;44.040;77
17:15:45;44.060;56
17:15:45;44.060;89
17:15:45;44.060;13
17:15:45;44.060;24
17:15:45;44.080;14
17:15:11;44.080;71
17:15:11;44.080;30
17:15:11;44.080;13
17:14:41;44.100;229
17:14:33;44.040;521
17:14:33;44.040;24
17:14:33;44.040;6
17:14:33;44.040;10
17:14:33;44.040;5
17:14:33;44.060;13
17:14:33;44.060;6
17:14:33;44.060;5
17:14:06;44.100;23
17:14:06;44.100;2
17:14:06;44.100;1
17:14:06;44.060;120
17:14:02;44.020;57
17:14:02;43.960;69
17:14:01;43.960;46
17:14:01;43.960;23
17:14:01;43.960;69
17:14:00;43.960;69
17:14:00;43.960;69
17:14:00;43.960;9
17:14:00;43.960;19
17:13:51;43.960;27
17:13:49;43.960;23
17:13:49;43.960;69
17:13:47;43.960;46
17:13:47;43.960;23
17:13:47;43.960;69
17:13:45;43.960;69
17:13:45;43.960;69
17:13:44;43.960;69
17:13:42;43.960;69
17:13:42;43.960;69
17:13:42;43.960;69
17:13:42;43.960;69
17:13:42;43.960;77
17:13:42;43.960;69
17:13:41;43.960;29
17:13:41;43.960;40
17:13:41;43.960;29
17:13:41;43.960;13
17:13:41;43.960;16
17:13:41;43.960;13
17:13:41;43.960;40
17:13:41;43.960;11
17:13:41;43.960;29
17:13:41;43.960;40
17:13:41;43.960;6
17:13:41;43.960;69
17:13:41;43.960;69
17:13:41;43.960;40
17:13:41;43.960;29
17:13:41;43.960;40
17:13:41;43.960;29
17:13:41;43.960;40
17:13:41;43.960;2375
17:13:41;43.960;69
17:13:41;43.960;69
17:13:41;43.960;6
17:13:41;43.980;40
17:13:41;44.000;28
17:13:41;43.980;40
17:13:41;43.940;25
17:13:41;43.940;6
17:13:41;43.940;5
17:13:36;43.960;35
17:13:36;43.960;34
17:13:33;43.960;69
17:13:33;43.960;2
17:13:33;43.960;69
17:13:33;43.960;34
17:13:33;43.960;29
17:13:31;43.960;40
17:13:31;43.960;69
17:13:31;43.960;18
17:13:31;43.960;22
17:13:31;43.960;47
17:13:31;43.960;22
17:13:31;43.960;47
17:13:31;43.960;22
17:13:31;43.960;69
17:13:31;43.960;1
17:13:31;43.960;29
17:13:31;43.960;40
17:13:31;43.960;18
17:13:31;43.960;22
17:13:31;43.960;47
17:13:31;43.960;69
17:13:31;43.960;45
17:13:31;43.960;24
17:13:29;43.960;69
17:13:28;43.960;69
17:13:28;43.960;69
17:13:28;43.960;24
17:13:28;43.960;45
17:13:28;43.960;39
17:13:28;43.960;30
17:13:23;43.960;69
17:13:23;43.960;32
17:13:22;43.960;35
17:13:21;43.960;2
17:13:19;43.960;1
17:13:19;43.960;68
17:13:19;43.960;1
17:13:19;43.960;69
17:13:19;43.940;66
17:13:19;43.940;69
17:13:19;43.940;5
17:13:19;43.940;5
17:13:19;43.960;48
17:13:19;43.960;21
