heures;cours.quantité;
17:35:15;16.7400;272
17:35:15;16.7400;272
17:35:15;16.7400;225
17:35:15;16.7400;95
17:35:15;16.7400;1258
17:35:15;16.7400;513
17:35:15;16.7400;2137
17:35:15;16.7400;166
17:35:15;16.7400;1323
17:35:15;16.7400;598
17:35:15;16.7400;455
17:35:15;16.7400;374
17:35:15;16.7400;224
17:35:15;16.7400;266
17:35:15;16.7400;29
17:35:15;16.7400;35
17:35:15;16.7400;338
17:35:15;16.7400;60
17:35:15;16.7400;164
17:35:15;16.7400;68
17:35:15;16.7400;156
17:35:15;16.7400;272
17:35:15;16.7400;289
17:35:15;16.7400;34
17:35:15;16.7400;123
17:35:15;16.7400;144
17:35:15;16.7400;122
17:35:15;16.7400;157
17:35:15;16.7400;253
17:35:15;16.7400;253
17:35:15;16.7400;156
17:35:15;16.7400;191
17:35:15;16.7400;157
17:35:15;16.7400;841
17:35:15;16.7400;1149
17:35:15;16.7400;175
17:35:15;16.7400;1226
17:35:15;16.7400;255
17:35:15;16.7400;1186
17:35:15;16.7400;69
17:35:15;16.7400;217
17:35:15;16.7400;63
17:35:15;16.7400;1
17:35:15;16.7400;140
17:35:15;16.7400;13
17:35:15;16.7400;268
17:35:15;16.7400;3537
17:35:15;16.7400;420
17:35:15;16.7400;550
17:35:15;16.7400;111
17:35:15;16.7400;375
17:35:15;16.7400;21
17:35:15;16.7400;14
17:35:15;16.7400;159
17:35:15;16.7400;32
17:35:15;16.7400;116
17:35:15;16.7400;3718
17:35:15;16.7400;62
17:35:15;16.7400;947
17:35:15;16.7400;2207
17:35:15;16.7400;452
17:35:15;16.7400;284
17:35:15;16.7400;10
17:35:15;16.7400;257
17:35:15;16.7400;1
17:35:15;16.7400;434
17:35:15;16.7400;1289
17:35:15;16.7400;9
17:35:15;16.7400;1
17:35:15;16.7400;2914
17:35:15;16.7400;174
17:35:15;16.7400;1301
17:35:15;16.7400;153
17:35:15;16.7400;36
17:35:15;16.7400;230
17:35:15;16.7400;2587
17:35:15;16.7400;2612
17:35:15;16.7400;264
17:35:15;16.7400;2148
17:35:15;16.7400;2724
17:35:15;16.7400;517
17:35:15;16.7400;2075
17:35:15;16.7400;252
17:35:15;16.7400;2104
17:35:15;16.7400;687
17:35:15;16.7400;464
17:35:15;16.7400;45
17:35:15;16.7400;474
17:35:15;16.7400;721
17:35:15;16.7400;425
17:35:15;16.7400;22
17:35:15;16.7400;697
17:35:15;16.7400;153
17:35:15;16.7400;469
17:35:15;16.7400;393
17:35:15;16.7400;45
17:35:15;16.7400;378
17:35:15;16.7400;47
17:35:15;16.7400;447
17:35:15;16.7400;435
17:35:15;16.7400;573
17:35:15;16.7400;567
17:35:15;16.7400;343
17:35:15;16.7400;145
17:35:15;16.7400;469
17:35:15;16.7400;443
17:35:15;16.7400;424
17:35:15;16.7400;75
17:35:15;16.7400;562
17:35:15;16.7400;454
17:35:15;16.7400;457
17:35:15;16.7400;455
17:35:15;16.7400;444
17:35:15;16.7400;208
17:35:15;16.7400;645
17:35:15;16.7400;248
17:35:15;16.7400;46
17:35:15;16.7400;281
17:35:15;16.7400;33
17:35:15;16.7400;271
17:35:15;16.7400;235
17:35:15;16.7400;276
17:35:15;16.7400;286
17:35:15;16.7400;43
17:35:15;16.7400;225
17:35:15;16.7400;313
17:35:15;16.7400;281
17:35:15;16.7400;282
17:35:15;16.7400;283
17:35:15;16.7400;385
17:35:15;16.7400;143
17:35:15;16.7400;160
17:35:15;16.7400;168
17:35:15;16.7400;190
17:35:15;16.7400;7
17:35:15;16.7400;202
17:35:15;16.7400;42
17:35:15;16.7400;14
17:35:15;16.7400;14
17:35:15;16.7400;142
17:29:32;16.7600;24
17:29:31;16.7600;56
17:29:31;16.7600;100
17:29:14;16.7600;10
17:29:14;16.7600;100
17:29:13;16.7400;100
17:29:13;16.7400;92
17:25:32;16.7200;41
17:25:32;16.7200;49
17:25:31;16.7000;108
17:25:31;16.7000;54
17:25:31;16.7000;3
17:25:31;16.7000;94
17:25:31;16.7000;53
17:25:31;16.7000;54
17:25:31;16.7000;162
17:25:31;16.7000;55
17:25:28;16.6600;57
17:25:28;16.6600;125
17:25:28;16.6800;125
17:25:28;16.6600;85
17:25:28;16.6600;87
17:25:28;16.6600;125
17:25:28;16.6600;52
17:25:28;16.6600;1000
17:25:22;16.6800;115
17:24:39;16.6800;39
17:24:39;16.6800;28
17:24:31;16.6800;67
17:24:31;16.6800;272
17:24:31;16.6800;214
17:24:31;16.6800;3
17:24:31;16.6800;57
17:24:29;16.7000;162
17:24:29;16.7000;134
17:24:29;16.7000;12
17:24:29;16.7000;125
17:23:31;16.7000;56
17:23:31;16.7000;108
17:22:32;16.7000;11
17:22:32;16.7000;69
17:22:23;16.7000;107
17:21:39;16.7000;109
17:21:39;16.7000;53
17:21:39;16.7000;88
17:21:39;16.7000;29
17:20:42;16.7000;1000
17:19:45;16.7000;71
17:13:48;16.7200;125
17:13:48;16.7200;212
17:13:48;16.7400;6
17:13:48;16.7400;91
17:13:48;16.7400;98
17:13:48;16.7400;98
17:13:48;16.7400;54
17:13:48;16.7400;56
17:13:48;16.7400;235
17:13:48;16.7400;125
17:13:48;16.7200;264
17:13:48;16.7200;20
17:13:38;16.7200;26
17:13:38;16.7200;210
17:13:38;16.7200;47
17:13:38;16.7200;610
17:13:38;16.7200;94
17:13:38;16.7200;77
17:13:38;16.7200;296
17:12:21;16.7400;128
17:12:21;16.7400;512
17:12:21;16.7400;59
17:12:21;16.7400;112
17:12:21;16.7400;58
17:12:21;16.7400;103
17:12:21;16.7400;95
17:12:21;16.7400;51
17:12:21;16.7400;2
17:12:21;16.7400;8
17:10:01;16.7400;6
17:08:04;16.7200;26
17:08:04;16.7200;48
17:02:22;16.7400;95
17:02:22;16.7400;89
17:02:22;16.7400;125
17:01:40;16.7400;125
17:01:36;16.7400;13
17:01:36;16.7400;274
17:01:36;16.7400;1000
16:59:12;16.7600;162
16:55:09;16.7600;145
16:55:09;16.7600;97
16:55:09;16.7600;36
16:54:34;16.7600;240
16:54:34;16.7600;73
16:54:34;16.7600;25
16:54:34;16.7600;104
16:54:34;16.7600;95
16:54:34;16.7600;27
16:40:35;16.7800;98
16:40:35;16.7800;125
16:40:35;16.7800;233
16:35:50;16.7800;9
16:35:50;16.7800;26
16:35:50;16.7800;382
16:35:50;16.7800;309
16:23:50;16.7800;309
16:14:12;16.7800;25
16:14:12;16.7800;63
16:14:12;16.7800;50
16:14:12;16.7800;71
16:14:12;16.7800;225
16:14:12;16.7800;95
16:14:12;16.7800;81
16:14:12;16.7800;4
16:14:12;16.7800;25
16:13:47;16.7600;90
16:13:47;16.7600;850
16:13:47;16.7600;150
16:11:59;16.7800;55
16:11:48;16.7800;10
16:11:47;16.8000;162
16:11:47;16.8000;1000
16:11:47;16.8000;392
16:11:47;16.8000;349
16:00:45;16.8200;26
15:59:54;16.8000;94
15:59:53;16.8000;47
15:56:02;16.8000;100
15:51:45;16.8000;118
15:51:42;16.8200;190
15:51:41;16.8200;125
15:51:41;16.8200;93
15:51:41;16.8200;79
15:51:41;16.8200;26
15:51:41;16.8200;13
15:51:41;16.8200;118
15:48:10;16.8400;125
15:48:10;16.8400;93
15:48:10;16.8400;95
15:48:10;16.8400;1
15:48:02;16.8400;6
